Standard ID,Title,Discipline,Source,Local File,Status
DEP 31.40.20.33,Line Pipe Induction Bends - Amendments / Supplements to ISO 15590-1,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.20.37,Line Pipe for Critical Service - Amendments / Supplements to ISO 3183:2007,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.21.30,Pipeline Fittings- Amendments / Supplements to ISO-15590-2,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.21.33,Pig Signallers : Intrusive Type,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.21.34,Carbon And Low Alloy Steel Pipeline Flanges For Use in Oil & Gas Operations,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.50.30,Pre-commissioning of Pipelines,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.60.11,Pipeline Leak Detection,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.37.10.11,Ver 1.0,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.37.20.10,Title not available in source guide,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.00.60.15,Human Factors Engineering - Control Room Design,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.00.60.16,Human Factors Eng. - Human/Machine Interface Design for Situation Awareness,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.70.30,Quarter Turn Actuators for On/Off Valves,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.01.20.12,Process Control Domain,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.01.23.17,Process Control Domain - Security Requirements for Suppliers,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.01.40.31,Requirements for Real-Time Production Operations and Production-Critical,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.10.03.10,nstrument Symbols and Identification on Process Engineering Flow Schemes,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.24.20.44,nstrumentation Control & Protection for Fired Equipment,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.29.20.10,Safeguarding & Instrumented Protective Functions for Rotating Equipment,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.30.20.11,"Fire, Gas and Smoke Detection Systems",Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.30.20.14,nstrument Asset Management,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.30.20.15,DCS Basic Application Standards,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.30.20.16,Baselayer Control Applications,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.30.20.17,ntegration Of Motor Controls Into BPCS,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.30.20.18,Real Time Optimisation Project Standards NEW REQUIREMENT - TBC,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.31.00.32,nstruments for Measurement and Control,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.31.00.34,nstrumentation Documents and Drawings,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.31.09.31,nstrumentation for Equipment Packages,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.31.50.10,On-line Process Analysers,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.31.50.13,Analyser Housing,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.32.00.11,Turbine Fiscal Metering Systems for Liquid Hydrocarbons,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.32.00.12,Fiscal Flow Measurement of Natural Gas,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.36.01.17,"Control Valves - Selection, Sizing & Specifications",Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.45.10.10,nstrumentation of Depressuring Systems,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.80.10.10,nstrumented Protective Functions (IPF),Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.80.10.14,Alarm Management,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 61.38.10.10,Shop and Field Fabrication of Orifice Meter Runs,Construction / Commissioning,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 62.10.08.11,nspection & Functional Testing of Instruments,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.06.10.11,Equipment in LPG Installations,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.06.10.12,Pressurised Bulk Storage Installations for LPG,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.06.10.13,LPG Bulk Transfer & Transportation,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.06.10.18,Pressurised Bulk Storage Installations for LPG - At Customer Premises,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.48.60.13,Design and installation of chemical-resistant brick lining for Process,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.75.10.30,Water Tube Boilers,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.06.11.11,Loading Facilities for Bulk Road Vehicles,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.10.03.10,Symbols & Identification System - Mechanical,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.20.20.31,nternals for Columns,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.21.01.11,Printed Circuit Heat Exchangers - Selection & Application,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.21.01.12,Shell & Tube Heat Exchangers - Selection & Application,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.21.01.13,"Welded Plate-Bloc Heat Exchangers - Application, Design & Fabrication",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.21.01.30,Shell & Tube Heat Exchangers,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.21.01.32,Plate & Frame Heat Exchangers,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.21.01.33,Printed Circuit Heat Exchangers - Design & Fabrication,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
